id;time;created_at;from_user_name;tekst;filter_level;possibly_sensitive;truncated;retweet_count;favorite_count;lang;to_user_name;in_reply_to_status_id;quoted_status_id;source;location;lat;lng;from_user_id;from_user_realname;from_user_verified;from_user_description;from_user_url;from_user_profile_image_url;from_user_utcoffset;from_user_timezone;from_user_lang;from_user_tweetcount;from_user_followercount;from_user_friendcount;from_user_favourites_count;from_user_listed;from_user_created_at;hashtags;neg;neu;pos;compound;Label
846.677.838.216.528.000,00;1.490.698.701;28-3-2017, 10:58:21;BrexitExpress;boffchops: Incompetence, ignorance, malevolence, spite, racism, nonsense, lies, bollocks, bullshit and drivel. #BrexitShambles #Brexit;low;;0;0;0;en;;;;"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>";BoraBora;;;845.249.159.796.023.000,00;Cancel Brexit;0;Brexit is stupid;;http://pbs.twimg.com/profile_images/845513845397336064/f498yqWW_normal.jpg;-25.200;Pacific Time (US & Canada);en;3.678;10;2;0;0;24-3-2017, 12:21:18;"BrexitShambles; Brexit";0,764;0,236;0;-0,9705;angry language
846.678.454.401.745.000,00;1.490.698.848;28-3-2017, 11:00:48;TakingJobs;boffchops: Incompetence, ignorance, malevolence, spite, racism, nonsense, lies, bollocks, bullshit and drivel. #BrexitShambles #Brexit;low;;0;0;0;en;;;;"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>";Little England;;;780.840.449.963.532.000,00;Brexit Observer;0;Brexit is racist;;http://pbs.twimg.com/profile_images/844195037248475136/k3gDcKKw_normal.jpg;;;en;20.463;54;124;37;9;27-9-2016, 18:44:05;"BrexitShambles; Brexit";0,764;0,236;0;-0,9705;angry language
846.682.489.884.160.000,00;1.490.699.810;28-3-2017, 11:16:50;macmccolgan;Bastard newts! Gonna kill 'em all after #Brexit https://t.co/16yMIbUNw9;low;0;0;0;0;en;;;846.634.268.973.519.000,00;"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>";;;;51.217.472;Mac McColgan;0;Master of the  ɦﻉɼѻﻉร & ۷ٱɭɭคٱกร ܁กﻉՇ  house since 97   Villa fan & cyclist;http://www.heroesandvillains.info;http://pbs.twimg.com/profile_images/646396728950812673/yy9U2tI5_normal.jpg;3.600;London;en;12.430;574;238;704;24;26-6-2009, 20:43:39;Brexit;0,548;0,452;0;-0,8588;angry language
846.689.081.342.022.000,00;1.490.701.382;28-3-2017, 11:43:02;pablothehat;Veteran Who Battled Hitler's Luftwaffe Says Heseltine is Wrong The EU Betrayed Our War Dead, Not Brexit  https://t.co/TdXyvOQl6g … @lbc #lbc;low;0;0;0;0;en;;;;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Bishops Castle;;;14.250.027;pablothehat;0;Biped Humanoid;http://www.netvibes.com/pablothehat#The_Tao_of_Blog;http://pbs.twimg.com/profile_images/52204777/drummerboy_normal.JPG;3.600;London;en;58.936;1.418;2.108;8.446;89;29-3-2008, 09:01:15;lbc;0,538;0,462;0;-0,9552;angry language
846.691.625.539.686.000,00;1.490.701.988;28-3-2017, 11:53:08;themightyug;FUCKSAKE PEOPLE STOP BEING FUCKING MORONS #brexit;low;;0;0;0;en;;;;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Rhoose, Vale of Glamorgan;;;66.205.268;Ross Taylor;0;Devastated pessimist. Remoaner. Snowflake. Bleeding heart loony lefty liberal. Member of the cosmopolitan educated elite. I should rule the world.;http://soundcloud.com/the-mighty-ug;http://pbs.twimg.com/profile_images/845619280385196033/YLKT9_dE_normal.jpg;3.600;London;en;14.430;339;419;12.627;22;16-8-2009, 22:12:07;brexit;0,583;0,417;0;-0,7901;angry language
846.768.235.022.307.000,00;1.490.720.254;28-3-2017, 16:57:34;jeffslough8;@SwainITV @GMB No doubt it's Brexits fault! #brexit;low;;0;0;0;en;SwainITV;846.667.958.642.463.000,00;;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Rochdale;;;423.328.774;jeffslough8;0;;https://www.facebook.com/jeff.slough8;http://pbs.twimg.com/profile_images/755306530828873728/m_IpC0Pg_normal.jpg;3.600;London;en;1.262;244;330;630;2;28-11-2011, 11:04:41;brexit;0,606;0,394;0;-0,7712;angry language
846.790.356.071.014.000,00;1.490.725.528;28-3-2017, 18:25:28;TomPoole007;Fuck Brexit. #brexit.;low;;0;0;0;en;;;;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";;;;303.404.407;Tom Poole;0;Broadcast Engineer, Digital Producer, #VR, technology, health science, psychology, photography, #mojo, digital imaging, #trance music, piano, sunshine.;;http://pbs.twimg.com/profile_images/746736002400665600/SZXD41xj_normal.jpg;3.600;Casablanca;en;38.942;1.605;4.329;10.180;273;22-5-2011, 20:18:58;brexit;0,636;0,364;0;-0,5423;angry language
846.803.720.344.130.000,00;1.490.728.714;28-3-2017, 19:18:34;drstuf;Fuckity fuck fuck fuck! #brexit #brexiteve;low;;0;0;0;en;;;;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;20.427.088;Stuart Findlay;0;;;http://pbs.twimg.com/profile_images/562546927997177856/shpuioEL_normal.jpeg;;;en;2.314;117;258;589;6;9-2-2009, 10:30:20;"brexit; brexiteve";0,782;0,218;0;-0,8955;angry language
846.804.615.567.983.000,00;1.490.728.927;28-3-2017, 19:22:07;pubrr;Never forget on #BrexitEve as fools, frauds, fakes, incompetents lead UK into Brexit suicide @MattCarr55 | https://t.co/vjcfXn5mlD https://t.co/ztjQGBp0NE;low;0;0;0;0;en;;;;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";;;;746.785.573.592.011.000,00;Public Reading Rooms;0;Public Reading Rooms: collective project concerned with the art of politics and vice versa in belief that another world is possible. http://www.prruk.org;;http://pbs.twimg.com/profile_images/765592807142809600/nXtDsGy5_normal.jpg;;;en;692;406;830;106;12;25-6-2016, 19:22:10;BrexitEve;0,567;0,433;0;-0,9403;angry language
846.831.341.798.900.000,00;1.490.735.299;28-3-2017, 21:08:19;LYALLAngus;#Brexit #U.K. Hurrah Hurrah Hurrah! #libtards https://t.co/5yoNO9na3I;low;0;0;0;0;en;;;846.830.486.798.455.000,00;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;708.622.591;Angus LYALL;0;;;http://pbs.twimg.com/profile_images/780464777952948224/e8jXfxil_normal.jpg;;;en;5.518;456;1.603;1.855;61;21-7-2012, 08:18:05;"Brexit; U; libtards";0;0,265;0,735;0,902;angry language
846.831.341.798.900.000,00;1.490.735.299;28-3-2017, 21:08:19;LYALLAngus;#Brexit #U.K. Hurrah Hurrah Hurrah! #libtards https://t.co/5yoNO9na3I;low;0;0;0;0;en;;;846.830.486.798.455.000,00;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;708.622.591;Angus LYALL;0;;;http://pbs.twimg.com/profile_images/780464777952948224/e8jXfxil_normal.jpg;;;en;5.518;456;1.603;1.855;61;21-7-2012, 08:18:05;"Brexit; U; libtards";0;0,265;0,735;0,902;angry language
846.832.540.296.004.000,00;1.490.735.585;28-3-2017, 21:13:05;anyclinic;Hard to ignore, cancel #brexit ! @StephenVieting https://t.co/9AmYzfHTxv;low;0;0;0;0;en;;;846.829.758.633.652.000,00;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";The US of fucking A!;;;2.733.469.417,00;The Counselor™;0;Lifestyle Coach for progressive Donkeys and general Oracle.;;http://pbs.twimg.com/profile_images/500113904098226176/uRm2_gy1_normal.jpeg;;;en;25.593;1.468;2.160;4.596;11;15-8-2014, 02:51:21;brexit;0,608;0,392;0;-0,636;angry language
846.833.557.691.646.000,00;1.490.735.828;28-3-2017, 21:17:08;robmac121;I'm on a highway to hell! Highway to hell! #brexit #acdc;low;;0;0;0;en;;;;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Berkhamsted, Hertfordshire, UK;;;466.588.523;Robert G McCarthy;0;General twittering. Have Aspergers Syndrome. All social media: robmac121;;http://pbs.twimg.com/profile_images/795289673996337154/DorovmXm_normal.jpg;3.600;London;en;1.786;86;94;146;5;17-1-2012, 15:36:34;"brexit; acdc";0,55;0,45;0;-0,8953;angry language
846.837.098.221.130.000,00;1.490.736.672;28-3-2017, 21:31:12;misskiddle;Fuck fuckety fuck 😞 #BrexitEve https://t.co/Pkw1IWFRUF;low;0;0;0;0;en;;;846.830.486.798.455.000,00;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";London/Derbyshire;;;214.192.306;Princess Pottymouth;0;Sarcastic, romantic, lover of music who usually forgets to text back... Partial to the great outdoors, gin, laughing and general silliness. Own views xx;;http://pbs.twimg.com/profile_images/758725895251165184/p2dy3q7w_normal.jpg;3.600;London;en;1.548;162;291;2.143;1;10-11-2010, 20:09:28;BrexitEve;0,7;0,3;0;-0,7906;angry language
846.837.111.701.602.000,00;1.490.736.675;28-3-2017, 21:31:15;MRipley13;Fuck. This. Shit #BrexitEve #brexit https://t.co/TqVQCc25co;low;0;0;0;0;en;;;846.830.486.798.455.000,00;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Stars Hollow;;;465.036.478;Meg;0;Small. Hufflepuff. Sister, Auntie, Cat Lady. Social Housing bod. Made of caffeine & alcohol. Believer that a day without laughter is a day wasted.;https://www.thisismyjam.com/MRipley13;http://pbs.twimg.com/profile_images/753346319503257600/abU5_uLA_normal.jpg;;;en;12.541;359;556;800;11;15-1-2012, 22:03:03;"BrexitEve; brexit";0,64;0,36;0;-0,7964;angry language
846.838.693.956.604.000,00;1.490.737.052;28-3-2017, 21:37:32;NickieMann;Hell. Handcart. In. #BrexitEve https://t.co/MMG5eWZxPi;low;0;0;0;0;en;;;846.834.132.005.130.000,00;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;40.076.650;Nickie Mann Gordon;0;Proud profoundly deaf charity worker making a difference, one charity at a time... Harlow born, bred and proud. All views are mine - save those I plaugerise...;;http://pbs.twimg.com/profile_images/728694567621505024/lcTlgStZ_normal.jpg;3.600;London;en;3.011;115;223;1.582;7;14-5-2009, 20:32:58;BrexitEve;0,535;0,465;0;-0,6808;angry language
846.840.453.311.992.000,00;1.490.737.472;28-3-2017, 21:44:32;AdeleGreen89;RT @MRipley13: Fuck. This. Shit #BrexitEve #brexit https://t.co/TqVQCc25co;low;0;0;0;0;en;;;846.830.486.798.455.000,00;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Hogwarts and 1926 NYC;;;98.982.501;Adele❤️NewtinaNerds™;0;Newtina😍😍 KatherineWaterston&AlisonSudol😍😍Jacweenie😍❤️JMo❤️KarenDavid❤️GabbyLogan&LeeMcKenzie❤️OUAT&CaptainSwan❤️ #Potterhead #OUFC #Disney #MiddleEarth #Narnia;https://twitter.com/AdeleGreen89/status/818572227268341761;http://pbs.twimg.com/profile_images/822219719059111936/CXh4CcNy_normal.jpg;3.600;London;en;33.659;825;996;5.309;18;23-12-2009, 23:31:42;"BrexitEve; brexit";0,542;0,458;0;-0,7964;angry language
846.844.491.034.235.000,00;1.490.738.434;28-3-2017, 22:00:34;DaveyMuffdiver;Fuck #brexit and the fools who bought into the lies;low;;0;0;0;en;;;;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Northampton;;;310.500.591;David;0;Massive SAFC fan, F1 nut huge Mclaren and Mercedes fan #TeamLH;;http://pbs.twimg.com/profile_images/751902040650031104/VyMCkiRP_normal.jpg;;;en;3.504;850;2.529;1.608;5;3-6-2011, 21:20:59;brexit;0,576;0,424;0;-0,8591;angry language
846.848.780.083.311.000,00;1.490.739.457;28-3-2017, 22:17:37;PaulGrinnall;The satanic, stupid, inept, clueless old whore has finally triggered #brexit. The UK is fucked to hell.;low;;0;0;0;en;;;;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Bristol;;;1.062.986.790;Paul Grinnall;0;Senior Software Dev, Mtb rider, motorsport fan, analog synth, bass and guitar player. Love animals,particularly bears, tigers, and alpacas...;;http://pbs.twimg.com/profile_images/593199312693235712/cGcjyOkw_normal.jpg;-25.200;Pacific Time (US & Canada);en;625;79;160;134;2;5-1-2013, 13:22:38;brexit;0,615;0,385;0;-0,9648;angry language
846.859.555.506.196.000,00;1.490.742.026;28-3-2017, 23:00:26;Tigzy_J;LET THE RAGE TEARS COMMENCE! #Brexit #Article50 #BrexitEve;low;;0;0;0;en;;;;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";;;;1.187.185.146;Gerald Mung;0;Yes, it's my real name. Problem?;;http://pbs.twimg.com/profile_images/765566865334738944/AyBE8Db8_normal.jpg;7.200;Amsterdam;en;12.258;508;581;915;13;16-2-2013, 19:21:58;"Brexit; Article50; BrexitEve";0,547;0,453;0;-0,8052;angry language
846.869.160.076.415.000,00;1.490.744.316;28-3-2017, 23:38:36;fjbeecher;RT @zebra_crispy: Well, you actually did it. You fools - you stupid, stupid fools. Welcome to the bad shit. #Brexit https://t.co/kKxozCi4tJ;low;0;0;0;0;en;;;;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Wales;;;3.386.406.213,00;Frances Beecher;0;CEO Llamau, Wales' leading homeless charity for young people & vulnerable women. @LlamauUK. Mum -two, Naine - two. Doggie mum -three. Views & Outbursts - one.;http://llamau.org.uk;http://pbs.twimg.com/profile_images/833125286334066688/ChpNSHR__normal.jpg;21.600;BST;en;19.123;1.246;1.333;10.036;81;21-7-2015, 22:26:40;Brexit;0,543;0,321;0,136;-0,9451;angry language
846.873.832.136.851.000,00;1.490.745.430;28-3-2017, 23:57:10;Thomolunatic;F*cking stupid government f*cking stupid media stupid blind stubborn idiots everywhere #brexit #BrexitBritain #Article50;low;;0;0;0;en;;;;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";London, UK;;;356.273.297;Thomolunatic;0;"Sound engineer; i'm making the beautiful music you hear between the noise. Pro Tools expert & other DAWs user. Music alias Cloudcub. http://t.co/1Cda92h6";http://www.thomasntinas.co.uk/;http://pbs.twimg.com/profile_images/1511041897/37762_450774941220_716086220_6723428_1163517_n_normal.jpg;3.600;London;en;7.167;1.006;2.127;1.587;46;16-8-2011, 16:11:59;"brexit; BrexitBritain; Article50";0,634;0,366;0;-0,9393;angry language
846.875.169.226.461.000,00;1.490.745.749;29-3-2017, 00:02:29;mpaynedev;#Brexit Everyone is a dick.;low;;0;0;0;en;;;;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Wales, United Kingdom;;;773.427.327.321.670.000,00;Mike Payne;0;Software Engineer - Mechanical Owl - Sightseers - the beard collector. https://open.spotify.com/artist/5FHPABIBEUvco2W119Xqwb;https://www.instagram.com/thebeardcollector/;http://pbs.twimg.com/profile_images/828725727528902658/wk_5Jerw_normal.jpg;;;en;612;132;726;442;1;7-9-2016, 07:46:59;Brexit;0,524;0,476;0;-0,5106;angry language
846.878.277.218.320.000,00;1.490.746.490;29-3-2017, 00:14:50;Stopper206;@BandCreep sore loser #Brexit;low;;0;0;0;en;BandCreep;846.877.127.123.390.000,00;;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>";;;;1.244.219.053;Stopper206;0;;;http://pbs.twimg.com/profile_images/828342559088996353/AclGQ6Xg_normal.jpg;3.600;London;en;2.341;53;61;722;3;5-3-2013, 17:19:03;Brexit;0,747;0,253;0;-0,7096;angry language
846.883.953.948.725.000,00;1.490.747.843;29-3-2017, 00:37:23;MrShaneMorgan;Twas the night before #Brexit Fuck this shit.;low;;0;0;0;en;;;;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";UK and Australia;;;2.365.709.167,00;Shane Morgan;0;Theatre Director.;http://www.roughhousetheatre.com;http://pbs.twimg.com/profile_images/841573326866808832/UPZqkisC_normal.jpg;3.600;London;en;9.046;1.067;1.347;5.533;28;28-2-2014, 14:41:21;Brexit;0,564;0,436;0;-0,8294;angry language
846.962.646.767.358.000,00;1.490.766.605;29-3-2017, 05:50:05;vodkaangel22;IDIOTIC #Brexit #Article50 https://t.co/tS4rC20Syb;low;0;0;0;0;en;;;846.960.240.440.607.000,00;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Somewhere near London, UK;;;30.878.247;Ange;0;My books are available from Amazon. Writes regularly for @dwas63 & @wearecultonline and my own blog http://vodkaangel22.wordpress.com;http://www.vodkaangel22.wordpress.com;http://pbs.twimg.com/profile_images/846960527133806592/W6sEKm6S_normal.jpg;3.600;London;en;62.201;3.279;4.031;4.338;144;13-4-2009, 14:50:34;"Brexit; Article50";0,591;0,409;0;-0,6523;angry language
846.966.343.706.595.000,00;1.490.767.486;29-3-2017, 06:04:46;emmaZbolland;Getting on a train and contemplating this terrible, awful, stupid day, brought upon us by liars, fools, and bigots. #Brexit;low;;0;0;0;en;;;;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";UK;;;205.639.833;Emma Bolland;0;Artist, writer, harridan.;http://emmabolland.com;http://pbs.twimg.com/profile_images/768803035359416322/65jSE-o4_normal.jpg;3.600;London;en;19.485;1.494;465;10.298;92;21-10-2010, 09:18:00;Brexit;0,543;0,457;0;-0,9487;angry language
846.967.780.486.386.000,00;1.490.767.829;29-3-2017, 06:10:29;McDeLLaware;@Rodfather73 @McDeLLaware fuck off and go to hell, you horrible libtard twat. #brexit;low;;0;0;0;en;Rodfather73;846.883.965.126.500.000,00;;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Salt Lake City,UT;;;32.515.332;DeLLaware-inc™;0;IN GOD WE TRUST™ 1776 Praise the Lord. (Warning Muslim Free Zone) The Lord is My Shepherd. The Dreamer Worth Pursuit;;http://pbs.twimg.com/profile_images/846872901152313346/4510N2Gn_normal.jpg;3.600;Europe/London;en;41.344;588;2.770;9.879;18;17-4-2009, 18:38:58;brexit;0,64;0,36;0;-0,9517;angry language
846.979.805.996.368.000,00;1.490.770.696;29-3-2017, 06:58:16;britainisshit;Tory bastards. Stupid Tory bastards. #brexit;low;;0;0;0;en;;;;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Brighton, England;;;755.359.050.301.407.000,00;Shit Britain;0;Art project aimed at documenting the decline of the U.K. post Brexit;http://shitbritain.com;http://pbs.twimg.com/profile_images/755361706809888768/ZbkzZmcS_normal.jpg;;;en;2.786;590;895;2.450;14;19-7-2016, 11:10:06;brexit;0,792;0,208;0;-0,9081;angry language
846.982.145.792.991.000,00;1.490.771.254;29-3-2017, 07:07:34;DaveJNash67;#brexit was built on racist lies https://t.co/OPyjsbLl3N;low;0;0;0;0;en;;;;"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>";London, England;;;845.923.859.526.304.000,00;Dave Nash;0;;;http://pbs.twimg.com/profile_images/845927973756813312/zlh6LEoN_normal.jpg;;;en;24;14;61;24;0;26-3-2017, 09:02:19;brexit;0,576;0,424;0;-0,7783;angry language
846.983.464.733.823.000,00;1.490.771.568;29-3-2017, 07:12:48;Mungo_5;RT @britainisshit: Tory bastards. Stupid Tory bastards. #brexit;low;;0;0;0;en;;;;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;25.987.264;Mungo;0;I must be a centrist because I'm blocked by George Galloway and Tom Watson. Retweeting does not imply endorsement, often it implies 'Look at this bellend'.;;http://pbs.twimg.com/profile_images/819910252325847046/6NuhgmUH_normal.jpg;3.600;London;en;21.900;912;714;23.078;44;23-3-2009, 11:49:39;brexit;0,695;0,305;0;-0,9081;angry language
846.987.620.039.188.000,00;1.490.772.559;29-3-2017, 07:29:19;RichardRidleyGu;@bbclaurak bias clap trap lazy journalism #Article50 #brexit;low;;0;0;0;en;bbclaurak;;;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";North East England;;;1.116.681.769;Richard Ridley- Gurr;0;A bloke, a fair bit of life experience,bothered about ethics,rather than money.A brexiter,mindful,pragmatic charity worker.;;http://pbs.twimg.com/profile_images/843924145561882624/ifvChT6o_normal.jpg;;;en;175;28;152;121;3;24-1-2013, 12:33:34;"Article50; brexit";0,554;0,446;0;-0,6369;angry language
